circuit_id,family,cloud_shots,hardware_shots,finite_shots,counts_axis_valid,shots_conserved,cloud_vs_ideal_tv,cloud_vs_ideal_hellinger,cloud_vs_ideal_h2,cloud_vs_local_noise_tv,cloud_vs_local_noise_hellinger,cloud_vs_local_noise_h2,cloud_vs_finite_tv,cloud_vs_finite_hellinger,cloud_vs_finite_h2,cloud_vs_hardware_tv,cloud_vs_hardware_hellinger,cloud_vs_hardware_h2,hardware_vs_ideal_tv,hardware_vs_ideal_hellinger,hardware_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_hellinger,hardware_vs_local_noise_h2,finite_vs_ideal_tv,finite_vs_ideal_hellinger,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_hellinger,local_noise_vs_ideal_h2,cloud_noise_minus_ideal_tv,cloud_excess_over_finite_tv,hardware_cloud_minus_ideal_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3,cloud_feasible_k3,cloud_minus_ideal_feasible_k3,cloud_minus_local_noise_feasible_k3,cloud_minus_finite_feasible_k3,cloud_minus_hardware_feasible_k3
tianyan-287__message_0000,message,1024,1024,1024,True,True,0.12151964030154758,0.11662905843332759,0.01360233727104454,0.0949610738720385,0.09251461361329957,0.008558953732018116,0.13671875,0.13675852238360023,0.018702893444545683,0.171875,0.17021737669378648,0.0289739553285144,0.1549645566980063,0.14622024135351896,0.021380358981481336,0.1523734039032675,0.15366216322755222,0.023612060407770905,0.09845503528501515,0.09860906536198905,0.009723747771565028,0.08204038979410277,0.07381847129649535,0.0054491667045515075,-0.026558566429509073,0.02306460501653243,0.016910443301993705,,,,,,,,,
tianyan-287__message_0001,message,1024,1024,1024,True,True,0.12714588463129264,0.11520119463850242,0.013271315246138119,0.09713318102428717,0.0889257114816056,0.007907782162509761,0.15234375,0.14032738333299904,0.01969177451308646,0.1904296875,0.16407177644902016,0.026919547827137243,0.12883737822022207,0.12375818891906232,0.01531608932452632,0.1459203060529481,0.1320791521925283,0.017444902443897053,0.0845906509127605,0.08063660136321624,0.006502261479410246,0.08834474969331765,0.08027645929603666,0.006444309917108232,-0.030012703607005475,0.04255523371853215,0.061592309279777935,,,,,,,,,
tianyan-287__message_0002,message,1024,1024,1024,True,True,0.10885647766153161,0.09744324489409302,0.009495185975490185,0.08551077742851963,0.07587114220576673,0.005756430219607677,0.1337890625,0.12223780619623474,0.014942081263668243,0.208984375,0.18096579308712002,0.03274861826765034,0.1597247789620021,0.14491151687376902,0.020999347722656644,0.1784664652754042,0.15731599085613548,0.0247483209790477,0.10417309938987186,0.09553035701903768,0.009126049112184802,0.05985398327487605,0.05181049839092727,0.0026843277435162774,-0.02334570023301198,0.004683378271659752,0.0492595960379979,,,,,,,,,
tianyan-287__message_0003,message,1024,1024,1024,True,True,0.13215644271661048,0.11586888004867767,0.013425597363734852,0.1180832978375208,0.10217302135524778,0.010439326292859919,0.162109375,0.1550921110942198,0.02405356292366182,0.185546875,0.16154031684754713,0.02609527396720592,0.11526843719159409,0.11159928689231932,0.012454400834874195,0.14256561199149617,0.12935329631605796,0.016732275267829895,0.08254720463951687,0.08804260979883474,0.007751501140189871,0.07701744590971471,0.0680490520536747,0.0046306734854037294,-0.014073144879089672,0.04960923807709361,0.07027843780840591,,,,,,,,,
tianyan-287__message_0004,message,1024,1024,1024,True,True,0.1087132532615808,0.09788816296169005,0.009582092448014386,0.09944596340158215,0.09164733102392057,0.008399233283808075,0.150390625,0.13317254809972418,0.017734927567373347,0.1875,0.16849059811872777,0.028389081654406633,0.16568094743424006,0.1499307478686943,0.022479229156465975,0.1643830540916743,0.14581689376452386,0.021262566507134442,0.10107196845790886,0.08859547451700392,0.007849158104893091,0.026935260358760336,0.022800970398459693,0.0005198842511114351,-0.00926728985999864,0.007641284803671933,0.021819052565759944,,,,,,,,,
tianyan-287__message_0005,message,1024,1024,1024,True,True,0.10584491516945838,0.09513629849477181,0.009050915291286323,0.08994415444957447,0.0792152987354996,0.006275063553754443,0.1220703125,0.11016541589906251,0.012136418860213416,0.1962890625,0.1682940337109819,0.02832288178271311,0.17073946235483628,0.14220487459737746,0.020222226359255847,0.17121106881299286,0.14477590474308236,0.020960062594178056,0.07245629150970118,0.06753926772568063,0.004561552684921165,0.054614035614244945,0.04729456168712731,0.0022367755651774906,-0.015900760719883902,0.0333886236597572,0.02554960014516372,,,,,,,,,
tianyan-287__message_0006,message,1024,1024,1024,True,True,0.13873224010640206,0.13585966553356765,0.018457848718892868,0.09366231449383478,0.09996393716809561,0.009992788734146968,0.1708984375,0.19101722206411859,0.03648757912509279,0.2021484375,0.18397792466253882,0.033847876763134804,0.23511986170820162,0.2046433321894509,0.04187889340960195,0.1622849802606314,0.1467664118734417,0.021540379654204724,0.07473427311371444,0.10853905607677383,0.011780726694037055,0.1344722492206516,0.12234889246674532,0.01496925148783921,-0.045069925612567285,0.06399796699268762,-0.03297142420820162,,,,,,,,,
tianyan-287__message_0007,message,1024,1024,1024,True,True,0.12874436900106817,0.11815689402061993,0.013961051604600011,0.09481436559990776,0.09428832349475846,0.008890287947452221,0.16015625,0.1575134999693515,0.024810502672594895,0.2216796875,0.2014264505481776,0.04057261498043743,0.16878632710116065,0.15122367084560526,0.022868598624019958,0.17852292336559333,0.165994736147281,0.027554252428605437,0.08869317796460072,0.08603796090429376,0.007402530716568781,0.082967297172695,0.07347930292100589,0.0053992079577569446,-0.03393000340116041,0.040051191036467454,0.05289336039883935,,,,,,,,,
tianyan-287__message_0008,message,1024,1024,1024,True,True,0.11092399286741289,0.10902176096707028,0.01188574436436101,0.08678218863277298,0.1039123467106027,0.010797775798904506,0.1435546875,0.1435514450292295,0.0206070173699799,0.189453125,0.19030922959120483,0.03621760286759791,0.18260254960897782,0.17381550490354253,0.030211829744873415,0.15820838261400755,0.15198189638044857,0.023098496827397407,0.0851530889191517,0.09394855500867562,0.008826330988218148,0.09132835184573894,0.07976584308117808,0.006362589722451124,-0.024141804234639908,0.02577090394826119,0.0068505753910221845,,,,,,,,,
tianyan-287__message_0009,message,1024,1024,1024,True,True,0.11655511362244532,0.10870778436735154,0.0118173823820586,0.09651036361931233,0.08789223464654862,0.0077250449111639615,0.1513671875,0.14940218421583853,0.022321012648463354,0.1787109375,0.16692351627789673,0.027863460286577258,0.14959099526705522,0.14450794282207116,0.02088254553866699,0.1812430879685158,0.16448855871797896,0.02705648594911801,0.07593739233703907,0.08833564451025018,0.007803186091041293,0.07069140434454574,0.061982314026202,0.0038418072520427175,-0.020044750003132994,0.04061772128540625,0.029119942232944784,,,,,,,,,
tianyan-287__message_0010,message,1024,1024,1024,True,True,0.12286457308056618,0.10946410957318642,0.011982391284650562,0.07932606174410652,0.07494585722608173,0.005616881515352227,0.1552734375,0.15867545083323303,0.025177898697129757,0.1396484375,0.12485127682363689,0.01558784132449241,0.13495842487258217,0.1251373774496811,0.015659363234983955,0.1108300465015911,0.10268576792989484,0.01054436693535222,0.10208602649523858,0.10013083605658912,0.010026184329391528,0.09656813902773176,0.08382868397898768,0.007027248257648987,-0.04353851133645967,0.0207785465853276,0.004690012627417833,,,,,,,,,
tianyan-287__message_0011,message,1024,1024,1024,True,True,0.15846440551989016,0.13611974686787248,0.018528585487373683,0.1183676109618073,0.11098705921722629,0.012318127313688094,0.189453125,0.16922184922174333,0.02863603425402643,0.1982421875,0.19349087144395158,0.0374387173321398,0.15078507686369583,0.14303612538084398,0.02045933316396452,0.14661782288610944,0.14634840015894163,0.021417854229081705,0.10305434699672891,0.09900220375176398,0.009801436347705791,0.07623340640921782,0.0670504648310048,0.004495764834053811,-0.04009679455808286,0.05541005852316125,0.04745711063630417,,,,,,,,,
tianyan-287__message_0012,message,1024,1024,1024,True,True,0.17044626865483178,0.15280466451083818,0.02334926549626981,0.08844083239325762,0.09689245607828552,0.009388148044882489,0.1845703125,0.185898646598477,0.034558306807145445,0.1796875,0.1726610369626123,0.029811833685004573,0.24590006859734537,0.22278349533113995,0.04963248579196006,0.14290795770566228,0.12950964050027725,0.016772746982511053,0.059707175627588184,0.09036727139649577,0.008166243739647923,0.14900723260089646,0.13003527787597033,0.01690917349228082,-0.08200543626157417,0.1107390930272436,-0.06621256859734537,,,,,,,,,
tianyan-287__message_0013,message,1024,1024,1024,True,True,0.1367049658280981,0.12871961442577537,0.01656873913792028,0.09582352179451188,0.10461650685100816,0.010944613505707038,0.1767578125,0.1606602175000361,0.0258117054871589,0.189453125,0.1790690905081906,0.032065739175430555,0.13219121219881103,0.13295033177444968,0.01767579071893624,0.15486319368325463,0.14948197102993516,0.022344859662994373,0.09374704675375678,0.0971540816697057,0.009438915585083845,0.08400603628497902,0.07626721557674894,0.005816688171830295,-0.04088144403358622,0.04295791907434132,0.057261912801188974,,,,,,,,,
