circuit_id,family,compiled_gate_count,compiled_two_qubit_count,compiled_depth,hardware_vs_ideal_tv,hardware_vs_ideal_h2,finite_vs_ideal_tv,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_h2,hardware_noise_minus_ideal_tv,hardware_excess_over_finite_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3
tianyan-287__message_0000,message,95,29,48,0.1549645566980063,0.021380358981481336,0.09845503528501515,0.009723747771565028,0.08204038979410277,0.0054491667045515075,0.1523734039032675,0.023612060407770905,-0.002591152794738788,0.05650952141299115,,,,
tianyan-287__message_0001,message,95,29,48,0.12883737822022207,0.01531608932452632,0.0845906509127605,0.006502261479410246,0.08834474969331765,0.006444309917108232,0.1459203060529481,0.017444902443897053,0.017082927832726025,0.04424672730746157,,,,
tianyan-287__message_0002,message,95,29,48,0.1597247789620021,0.020999347722656644,0.10417309938987186,0.009126049112184802,0.05985398327487605,0.0026843277435162774,0.1784664652754042,0.0247483209790477,0.01874168631340209,0.05555167957213024,,,,
tianyan-287__message_0003,message,95,29,48,0.11526843719159409,0.012454400834874195,0.08254720463951687,0.007751501140189871,0.07701744590971471,0.0046306734854037294,0.14256561199149617,0.016732275267829895,0.027297174799902083,0.03272123255207722,,,,
tianyan-287__message_0004,message,95,29,48,0.16568094743424006,0.022479229156465975,0.10107196845790886,0.007849158104893091,0.026935260358760336,0.0005198842511114351,0.1643830540916743,0.021262566507134442,-0.001297893342565748,0.0646089789763312,,,,
tianyan-287__message_0005,message,95,29,48,0.17073946235483628,0.020222226359255847,0.07245629150970118,0.004561552684921165,0.054614035614244945,0.0022367755651774906,0.17121106881299286,0.020960062594178056,0.00047160645815658153,0.0982831708451351,,,,
tianyan-287__message_0006,message,95,29,48,0.23511986170820162,0.04187889340960195,0.07473427311371444,0.011780726694037055,0.1344722492206516,0.01496925148783921,0.1622849802606314,0.021540379654204724,-0.07283488144757022,0.16038558859448718,,,,
tianyan-287__message_0007,message,95,29,48,0.16878632710116065,0.022868598624019958,0.08869317796460072,0.007402530716568781,0.082967297172695,0.0053992079577569446,0.17852292336559333,0.027554252428605437,0.009736596264432684,0.08009314913655993,,,,
tianyan-287__message_0008,message,95,29,48,0.18260254960897782,0.030211829744873415,0.0851530889191517,0.008826330988218148,0.09132835184573894,0.006362589722451124,0.15820838261400755,0.023098496827397407,-0.024394166994970268,0.09744946068982611,,,,
tianyan-287__message_0009,message,95,29,48,0.14959099526705522,0.02088254553866699,0.07593739233703907,0.007803186091041293,0.07069140434454574,0.0038418072520427175,0.1812430879685158,0.02705648594911801,0.03165209270146058,0.07365360293001615,,,,
